State,Weather_Condition,Severity,Count
IA,Partly Cloudy,1,5
IA,Partly Cloudy,2,439
IA,Partly Cloudy,3,597
IA,Partly Cloudy,4,13
ID,Clear,2,24
ID,Clear,3,38
ID,Clear,4,1
ID,Fair,2,21
ID,Fair,3,19
ID,Fair,4,8
ID,Mostly Cloudy,1,1
ID,Mostly Cloudy,2,12
ID,Mostly Cloudy,3,4
ID,Mostly Cloudy,4,1
ID,Overcast,2,9
ID,Overcast,3,11
ID,Partly Cloudy,2,4
ID,Partly Cloudy,3,7
ID,Partly Cloudy,4,1
IL,Clear,1,7
IL,Clear,2,11166
IL,Clear,3,1795
IL,Clear,4,14
IL,Fair,1,646
IL,Fair,2,10089
IL,Fair,3,10149
IL,Fair,4,107
IL,Mostly Cloudy,1,181
IL,Mostly Cloudy,2,8170
IL,Mostly Cloudy,3,5653
IL,Mostly Cloudy,4,46
IL,Overcast,1,2
IL,Overcast,2,8486
IL,Overcast,3,1765
IL,Overcast,4,17
IL,Partly Cloudy,1,136
IL,Partly Cloudy,2,5019
IL,Partly Cloudy,3,3349
IL,Partly Cloudy,4,29
IN,Clear,1,5
IN,Clear,2,4533
IN,Clear,3,1507
IN,Clear,4,6
IN,Fair,1,160
IN,Fair,2,2378
IN,Fair,3,3086
IN,Fair,4,128
IN,Mostly Cloudy,1,28
IN,Mostly Cloudy,2,2303
IN,Mostly Cloudy,3,1540
IN,Mostly Cloudy,4,28
IN,Overcast,1,1
IN,Overcast,2,3001
IN,Overcast,3,1193
IN,Overcast,4,4
IN,Partly Cloudy,1,18
IN,Partly Cloudy,2,1586
IN,Partly Cloudy,3,1146
IN,Partly Cloudy,4,29
KS,Clear,2,165
KS,Clear,3,370
KS,Clear,4,1
KS,Fair,1,18
KS,Fair,2,537
KS,Fair,3,1255
KS,Fair,4,31
KS,Mostly Cloudy,1,1
KS,Mostly Cloudy,2,81
KS,Mostly Cloudy,3,149
KS,Overcast,2,104
KS,Overcast,3,210
KS,Partly Cloudy,1,2
KS,Partly Cloudy,2,60
KS,Partly Cloudy,3,151
KS,Partly Cloudy,4,1
KY,Clear,1,3
KY,Clear,2,1306
KY,Clear,3,1584
KY,Clear,4,3
KY,Fair,1,118
KY,Fair,2,3268
KY,Fair,3,1928
KY,Fair,4,83
KY,Mostly Cloudy,1,32
KY,Mostly Cloudy,2,1257
KY,Mostly Cloudy,3,1699
KY,Mostly Cloudy,4,30
KY,Overcast,1,2
KY,Overcast,2,934
KY,Overcast,3,1420
KY,Overcast,4,1
KY,Partly Cloudy,1,31
KY,Partly Cloudy,2,965
KY,Partly Cloudy,3,1177
KY,Partly Cloudy,4,25
LA,Clear,1,5
LA,Clear,2,11939
LA,Clear,3,2539
LA,Clear,4,8
LA,Fair,1,725
LA,Fair,2,14812
LA,Fair,3,4097
LA,Fair,4,132
LA,Mostly Cloudy,1,171
LA,Mostly Cloudy,2,8177
LA,Mostly Cloudy,3,2408
LA,Mostly Cloudy,4,44
LA,Overcast,1,1
LA,Overcast,2,4267
LA,Overcast,3,1000
LA,Overcast,4,4
LA,Partly Cloudy,1,95
LA,Partly Cloudy,2,4292
LA,Partly Cloudy,3,1368
LA,Partly Cloudy,4,19
MA,Clear,1,4
MA,Clear,2,3461
MA,Clear,3,2969
MA,Clear,4,1
MA,Fair,1,662
MA,Fair,2,9313
MA,Fair,3,2991
MA,Fair,4,15
MA,Mostly Cloudy,1,201
MA,Mostly Cloudy,2,4447
MA,Mostly Cloudy,3,1977
MA,Mostly Cloudy,4,6
MA,Overcast,1,3
MA,Overcast,2,2572
MA,Overcast,3,1875
MA,Overcast,4,1
MA,Partly Cloudy,1,116
MA,Partly Cloudy,2,3111
MA,Partly Cloudy,3,1391
MA,Partly Cloudy,4,2
MD,Clear,1,9
MD,Clear,2,3070
MD,Clear,3,2765
MD,Clear,4,9
MD,Fair,1,73
MD,Fair,2,3979
MD,Fair,3,2131
MD,Fair,4,124
MD,Mostly Cloudy,1,27
MD,Mostly Cloudy,2,2404
MD,Mostly Cloudy,3,2226
MD,Mostly Cloudy,4,61
MD,Overcast,1,4
MD,Overcast,2,1898
MD,Overcast,3,1994
MD,Overcast,4,2
MD,Partly Cloudy,1,15
MD,Partly Cloudy,2,1295
MD,Partly Cloudy,3,1207
MD,Partly Cloudy,4,33
ME,Clear,1,1
ME,Clear,2,5
ME,Clear,3,5
ME,Clear,4,1
ME,Fair,1,1
ME,Fair,2,63
ME,Fair,3,81
ME,Fair,4,2
ME,Mostly Cloudy,2,20
ME,Mostly Cloudy,3,39
ME,Mostly Cloudy,4,2
ME,Overcast,2,2
ME,Overcast,3,5
ME,Overcast,4,1
ME,Partly Cloudy,2,21
ME,Partly Cloudy,3,34
ME,Partly Cloudy,4,3
MI,Clear,1,6
MI,Clear,2,9724
MI,Clear,3,6878
MI,Clear,4,7
MI,Fair,1,442
MI,Fair,2,7182
MI,Fair,3,4056
MI,Fair,4,116
MI,Mostly Cloudy,1,172
MI,Mostly Cloudy,2,7052
MI,Mostly Cloudy,3,3987
MI,Mostly Cloudy,4,45
MI,Overcast,1,5
MI,Overcast,2,8885
MI,Overcast,3,6238
MI,Overcast,4,9
MI,Partly Cloudy,1,95
MI,Partly Cloudy,2,3828
MI,Partly Cloudy,3,2192
MI,Partly Cloudy,4,23
MN,Clear,1,3
MN,Clear,2,4237
MN,Clear,3,5397
